n,shape,intermediate_rank,old_count,new_count,edges,new_two_hops,predicted_peak,sampled_peak,source_error,target_q_error,endpoint_old_loss,max_rank_tail,final_rank2_tail,max_norm,nodes
16,star,2,46,14,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [0, 14], [0, 15]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4], [0, 4, 1, 0, 5], [0, 5, 1, 0, 6], [0, 6, 1, 0, 7], [0, 7, 1, 0, 8], [0, 8, 1, 0, 9], [0, 9, 1, 0, 10], [0, 10, 1, 0, 11], [0, 11, 1, 0, 12], [0, 12, 1, 0, 13], [0, 13, 1, 0, 14], [0, 14, 1, 0, 15]]",0.29753616733005767,0.29753616733005755,3.3306690738754696e-16,2.220446049250313e-16,1.1940765655200862e-31,1.2825354675902172e-15,9.07941550339844e-16,12.129178267155856,83
16,star,3,46,14,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [0, 14], [0, 15]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4], [0, 4, 1, 0, 5], [0, 5, 1, 0, 6], [0, 6, 1, 0, 7], [0, 7, 1, 0, 8], [0, 8, 1, 0, 9], [0, 9, 1, 0, 10], [0, 10, 1, 0, 11], [0, 11, 1, 0, 12], [0, 12, 1, 0, 13], [0, 13, 1, 0, 14], [0, 14, 1, 0, 15]]",0.0,4.306379355649859e-31,3.3306690738754696e-16,2.220446049250313e-16,1.1940765655200862e-31,1.4231490566128607e-15,9.07941550339844e-16,12.212054956096265,103
16,binary,2,46,14,"[[0, 1], [0, 2], [1, 3], [1, 4], [2, 5], [2, 6], [3, 7], [3, 8], [4, 9], [4, 10], [5, 11], [5, 12], [6, 13], [6, 14], [7, 15]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4], [1, 4, 0, 2, 5], [1, 5, 0, 2, 6], [2, 6, 1, 3, 7], [2, 7, 1, 3, 8], [3, 8, 1, 4, 9], [3, 9, 1, 4, 10], [4, 10, 2, 5, 11], [4, 11, 2, 5, 12], [5, 12, 2, 6, 13], [5, 13, 2, 6, 14], [6, 14, 3, 7, 15]]",0.2158890456521502,0.21588904565215022,1.1102230246251565e-15,6.661338147750939e-16,1.3477657750821876e-30,1.1294886036422108e-15,7.977646637237537e-16,12.850635623147095,69
16,binary,3,46,14,"[[0, 1], [0, 2], [1, 3], [1, 4], [2, 5], [2, 6], [3, 7], [3, 8], [4, 9], [4, 10], [5, 11], [5, 12], [6, 13], [6, 14], [7, 15]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4], [1, 4, 0, 2, 5], [1, 5, 0, 2, 6], [2, 6, 1, 3, 7], [2, 7, 1, 3, 8], [3, 8, 1, 4, 9], [3, 9, 1, 4, 10], [4, 10, 2, 5, 11], [4, 11, 2, 5, 12], [5, 12, 2, 6, 13], [5, 13, 2, 6, 14], [6, 14, 3, 7, 15]]",0.0,2.034552393250676e-30,1.1102230246251565e-15,6.661338147750939e-16,1.3477657750821876e-30,1.1176482740814618e-15,7.977646637237537e-16,12.541655182282426,103
16,random,2,46,14,"[[0, 1], [0, 4], [0, 10], [1, 2], [1, 3], [4, 6], [4, 9], [4, 13], [2, 7], [3, 5], [3, 15], [9, 11], [5, 8], [5, 12], [5, 14]]","[[0, 1, 1, 0, 4], [0, 2, 1, 0, 10], [0, 3, 0, 1, 2], [0, 4, 0, 1, 3], [1, 5, 0, 4, 6], [1, 6, 0, 4, 9], [1, 7, 0, 4, 13], [3, 8, 1, 2, 7], [4, 9, 1, 3, 5], [4, 10, 1, 3, 15], [6, 11, 4, 9, 11], [9, 12, 3, 5, 8], [9, 13, 3, 5, 12], [9, 14, 3, 5, 14]]",0.16753637210503317,0.16753637210503317,4.440892098500626e-16,4.440892098500626e-16,7.732608726714752e-31,1.259053202357482e-15,8.516383052264001e-16,12.373005729174276,97
16,random,3,46,14,"[[0, 1], [0, 4], [0, 10], [1, 2], [1, 3], [4, 6], [4, 9], [4, 13], [2, 7], [3, 5], [3, 15], [9, 11], [5, 8], [5, 12], [5, 14]]","[[0, 1, 1, 0, 4], [0, 2, 1, 0, 10], [0, 3, 0, 1, 2], [0, 4, 0, 1, 3], [1, 5, 0, 4, 6], [1, 6, 0, 4, 9], [1, 7, 0, 4, 13], [3, 8, 1, 2, 7], [4, 9, 1, 3, 5], [4, 10, 1, 3, 15], [6, 11, 4, 9, 11], [9, 12, 3, 5, 8], [9, 13, 3, 5, 12], [9, 14, 3, 5, 14]]",0.0,9.407204813359454e-31,4.440892098500626e-16,4.440892098500626e-16,7.732608726714752e-31,1.2763704394982937e-15,8.516383052264001e-16,12.379960815542963,103
32,path,2,94,30,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29], [29, 30], [30, 31]]","[[0, 1, 0, 1, 2], [1, 2, 1, 2, 3], [2, 3, 2, 3, 4], [3, 4, 3, 4, 5], [4, 5, 4, 5, 6], [5, 6, 5, 6, 7], [6, 7, 6, 7, 8], [7, 8, 7, 8, 9], [8, 9, 8, 9, 10], [9, 10, 9, 10, 11], [10, 11, 10, 11, 12], [11, 12, 11, 12, 13], [12, 13, 12, 13, 14], [13, 14, 13, 14, 15], [14, 15, 14, 15, 16], [15, 16, 15, 16, 17], [16, 17, 16, 17, 18], [17, 18, 17, 18, 19], [18, 19, 18, 19, 20], [19, 20, 19, 20, 21], [20, 21, 20, 21, 22], [21, 22, 21, 22, 23], [22, 23, 22, 23, 24], [23, 24, 23, 24, 25], [24, 25, 24, 25, 26], [25, 26, 25, 26, 27], [26, 27, 26, 27, 28], [27, 28, 27, 28, 29], [28, 29, 28, 29, 30], [29, 30, 29, 30, 31]]",0.4209313597471285,0.42093135974712836,2.6645352591003757e-15,6.661338147750939e-16,1.2808397095147312e-30,3.778295531261177e-15,1.6314071642436772e-15,28.0029409695482,209
32,path,3,94,30,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29], [29, 30], [30, 31]]","[[0, 1, 0, 1, 2], [1, 2, 1, 2, 3], [2, 3, 2, 3, 4], [3, 4, 3, 4, 5], [4, 5, 4, 5, 6], [5, 6, 5, 6, 7], [6, 7, 6, 7, 8], [7, 8, 7, 8, 9], [8, 9, 8, 9, 10], [9, 10, 9, 10, 11], [10, 11, 10, 11, 12], [11, 12, 11, 12, 13], [12, 13, 12, 13, 14], [13, 14, 13, 14, 15], [14, 15, 14, 15, 16], [15, 16, 15, 16, 17], [16, 17, 16, 17, 18], [17, 18, 17, 18, 19], [18, 19, 18, 19, 20], [19, 20, 19, 20, 21], [20, 21, 20, 21, 22], [21, 22, 21, 22, 23], [22, 23, 22, 23, 24], [23, 24, 23, 24, 25], [24, 25, 24, 25, 26], [25, 26, 25, 26, 27], [26, 27, 26, 27, 28], [27, 28, 27, 28, 29], [28, 29, 28, 29, 30], [29, 30, 29, 30, 31]]",0.0,8.89919264227871e-29,2.6645352591003757e-15,6.661338147750939e-16,1.2808397095147312e-30,2.885935906131931e-15,1.6314071642436772e-15,25.827935256425995,199
32,star,2,94,30,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [0, 14], [0, 15], [0, 16], [0, 17], [0, 18], [0, 19], [0, 20], [0, 21], [0, 22], [0, 23], [0, 24], [0, 25], [0, 26], [0, 27], [0, 28], [0, 29], [0, 30], [0, 31]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4], [0, 4, 1, 0, 5], [0, 5, 1, 0, 6], [0, 6, 1, 0, 7], [0, 7, 1, 0, 8], [0, 8, 1, 0, 9], [0, 9, 1, 0, 10], [0, 10, 1, 0, 11], [0, 11, 1, 0, 12], [0, 12, 1, 0, 13], [0, 13, 1, 0, 14], [0, 14, 1, 0, 15], [0, 15, 1, 0, 16], [0, 16, 1, 0, 17], [0, 17, 1, 0, 18], [0, 18, 1, 0, 19], [0, 19, 1, 0, 20], [0, 20, 1, 0, 21], [0, 21, 1, 0, 22], [0, 22, 1, 0, 23], [0, 23, 1, 0, 24], [0, 24, 1, 0, 25], [0, 25, 1, 0, 26], [0, 26, 1, 0, 27], [0, 27, 1, 0, 28], [0, 28, 1, 0, 29], [0, 29, 1, 0, 30], [0, 30, 1, 0, 31]]",0.3249323029050376,0.3249323029050376,6.661338147750939e-16,3.3306690738754696e-16,7.981053689540705e-31,3.581460247397318e-15,2.393838678306316e-15,24.944876360842507,251
32,star,3,94,30,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [0, 14], [0, 15], [0, 16], [0, 17], [0, 18], [0, 19], [0, 20], [0, 21], [0, 22], [0, 23], [0, 24], [0, 25], [0, 26], [0, 27], [0, 28], [0, 29], [0, 30], [0, 31]]","[[0, 1, 1, 0, 2], [0, 2, 1, 0, 3], [0, 3, 1, 0, 4], [0, 4, 1, 0, 5], [0, 5, 1, 0, 6], [0, 6, 1, 0, 7], [0, 7, 1, 0, 8], [0, 8, 1, 0, 9], [0, 9, 1, 0, 10], [0, 10, 1, 0, 11], [0, 11, 1, 0, 12], [0, 12, 1, 0, 13], [0, 13, 1, 0, 14], [0, 14, 1, 0, 15], [0, 15, 1, 0, 16], [0, 16, 1, 0, 17], [0, 17, 1, 0, 18], [0, 18, 1, 0, 19], [0, 19, 1, 0, 20], [0, 20, 1, 0, 21], [0, 21, 1, 0, 22], [0, 22, 1, 0, 23], [0, 23, 1, 0, 24], [0, 24, 1, 0, 25], [0, 25, 1, 0, 26], [0, 26, 1, 0, 27], [0, 27, 1, 0, 28], [0, 28, 1, 0, 29], [0, 29, 1, 0, 30], [0, 30, 1, 0, 31]]",0.0,1.013809522725441e-30,6.661338147750939e-16,3.3306690738754696e-16,7.981053689540705e-31,3.115531319371624e-15,2.393838678306316e-15,25.287651175656904,199
32,binary,2,94,30,"[[0, 1], [0, 2], [1, 3], [1, 4], [2, 5], [2, 6], [3, 7], [3, 8], [4, 9], [4, 10], [5, 11], [5, 12], [6, 13], [6, 14], [7, 15], [7, 16], [8, 17], [8, 18], [9, 19], [9, 20], [10, 21], [10, 22], [11, 23], [11, 24], [12, 25], [12, 26], [13, 27], [13, 28], [14, 29], [14, 30], [15, 31]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4], [1, 4, 0, 2, 5], [1, 5, 0, 2, 6], [2, 6, 1, 3, 7], [2, 7, 1, 3, 8], [3, 8, 1, 4, 9], [3, 9, 1, 4, 10], [4, 10, 2, 5, 11], [4, 11, 2, 5, 12], [5, 12, 2, 6, 13], [5, 13, 2, 6, 14], [6, 14, 3, 7, 15], [6, 15, 3, 7, 16], [7, 16, 3, 8, 17], [7, 17, 3, 8, 18], [8, 18, 4, 9, 19], [8, 19, 4, 9, 20], [9, 20, 4, 10, 21], [9, 21, 4, 10, 22], [10, 22, 5, 11, 23], [10, 23, 5, 11, 24], [11, 24, 5, 12, 25], [11, 25, 5, 12, 26], [12, 26, 6, 13, 27], [12, 27, 6, 13, 28], [13, 28, 6, 14, 29], [13, 29, 6, 14, 30], [14, 30, 7, 15, 31]]",0.37872967298071086,0.37872967298071103,1.1102230246251565e-15,3.3306690738754696e-16,1.0230539864584997e-30,3.0783154134749437e-15,1.8583000708321775e-15,24.780494154256207,335
32,binary,3,94,30,"[[0, 1], [0, 2], [1, 3], [1, 4], [2, 5], [2, 6], [3, 7], [3, 8], [4, 9], [4, 10], [5, 11], [5, 12], [6, 13], [6, 14], [7, 15], [7, 16], [8, 17], [8, 18], [9, 19], [9, 20], [10, 21], [10, 22], [11, 23], [11, 24], [12, 25], [12, 26], [13, 27], [13, 28], [14, 29], [14, 30], [15, 31]]","[[0, 1, 1, 0, 2], [0, 2, 0, 1, 3], [0, 3, 0, 1, 4], [1, 4, 0, 2, 5], [1, 5, 0, 2, 6], [2, 6, 1, 3, 7], [2, 7, 1, 3, 8], [3, 8, 1, 4, 9], [3, 9, 1, 4, 10], [4, 10, 2, 5, 11], [4, 11, 2, 5, 12], [5, 12, 2, 6, 13], [5, 13, 2, 6, 14], [6, 14, 3, 7, 15], [6, 15, 3, 7, 16], [7, 16, 3, 8, 17], [7, 17, 3, 8, 18], [8, 18, 4, 9, 19], [8, 19, 4, 9, 20], [9, 20, 4, 10, 21], [9, 21, 4, 10, 22], [10, 22, 5, 11, 23], [10, 23, 5, 11, 24], [11, 24, 5, 12, 25], [11, 25, 5, 12, 26], [12, 26, 6, 13, 27], [12, 27, 6, 13, 28], [13, 28, 6, 14, 29], [13, 29, 6, 14, 30], [14, 30, 7, 15, 31]]",0.0,1.9699374436164842e-30,1.1102230246251565e-15,3.3306690738754696e-16,1.0230539864584997e-30,2.7846046269368774e-15,1.8583000708321775e-15,24.511900841245478,199
32,random,2,94,30,"[[0, 1], [0, 4], [0, 10], [1, 2], [1, 3], [1, 23], [1, 31], [4, 6], [4, 9], [4, 13], [2, 7], [3, 5], [3, 15], [3, 18], [9, 11], [9, 19], [9, 30], [7, 17], [5, 8], [5, 12], [5, 14], [5, 16], [18, 21], [18, 28], [11, 22], [11, 25], [19, 24], [19, 27], [12, 20], [12, 29], [16, 26]]","[[0, 1, 1, 0, 4], [0, 2, 1, 0, 10], [0, 3, 0, 1, 2], [0, 4, 0, 1, 3], [0, 5, 0, 1, 23], [0, 6, 0, 1, 31], [1, 7, 0, 4, 6], [1, 8, 0, 4, 9], [1, 9, 0, 4, 13], [3, 10, 1, 2, 7], [4, 11, 1, 3, 5], [4, 12, 1, 3, 15], [4, 13, 1, 3, 18], [8, 14, 4, 9, 11], [8, 15, 4, 9, 19], [8, 16, 4, 9, 30], [10, 17, 2, 7, 17], [11, 18, 3, 5, 8], [11, 19, 3, 5, 12], [11, 20, 3, 5, 14], [11, 21, 3, 5, 16], [13, 22, 3, 18, 21], [13, 23, 3, 18, 28], [14, 24, 9, 11, 22], [14, 25, 9, 11, 25], [15, 26, 9, 19, 24], [15, 27, 9, 19, 27], [19, 28, 5, 12, 20], [19, 29, 5, 12, 29], [21, 30, 5, 16, 26]]",0.34030752253149665,0.34030752253149676,8.881784197001252e-16,4.440892098500626e-16,2.240049118316794e-30,3.3121562909922447e-15,1.637046037050368e-15,32.78898750233609,195
32,random,3,94,30,"[[0, 1], [0, 4], [0, 10], [1, 2], [1, 3], [1, 23], [1, 31], [4, 6], [4, 9], [4, 13], [2, 7], [3, 5], [3, 15], [3, 18], [9, 11], [9, 19], [9, 30], [7, 17], [5, 8], [5, 12], [5, 14], [5, 16], [18, 21], [18, 28], [11, 22], [11, 25], [19, 24], [19, 27], [12, 20], [12, 29], [16, 26]]","[[0, 1, 1, 0, 4], [0, 2, 1, 0, 10], [0, 3, 0, 1, 2], [0, 4, 0, 1, 3], [0, 5, 0, 1, 23], [0, 6, 0, 1, 31], [1, 7, 0, 4, 6], [1, 8, 0, 4, 9], [1, 9, 0, 4, 13], [3, 10, 1, 2, 7], [4, 11, 1, 3, 5], [4, 12, 1, 3, 15], [4, 13, 1, 3, 18], [8, 14, 4, 9, 11], [8, 15, 4, 9, 19], [8, 16, 4, 9, 30], [10, 17, 2, 7, 17], [11, 18, 3, 5, 8], [11, 19, 3, 5, 12], [11, 20, 3, 5, 14], [11, 21, 3, 5, 16], [13, 22, 3, 18, 21], [13, 23, 3, 18, 28], [14, 24, 9, 11, 22], [14, 25, 9, 11, 25], [15, 26, 9, 19, 24], [15, 27, 9, 19, 27], [19, 28, 5, 12, 20], [19, 29, 5, 12, 29], [21, 30, 5, 16, 26]]",0.0,4.09809003216438e-30,8.881784197001252e-16,4.440892098500626e-16,2.240049118316794e-30,2.4586347114423227e-15,1.637046037050368e-15,24.490482919868576,199
