c,eta,original_exact_barrier,operator_distance,perturbed_peak_loss,original_peak_loss_of_constructed_path,max_rank_tail,max_norm,normalized_resource,nodes
0.2,0.1,0.32000000000000006,0.7615773105863908,5.700752635386218e-32,0.5800000000000001,5.153206861919286e-16,2.8284271247461903,1.4142135623730951,301
0.2,0.03,0.32000000000000006,0.22847319317591722,2.850376317693109e-32,0.5800000000000001,5.643087276726038e-16,6.960204339273701,1.044030650891055,301
0.2,0.01,0.32000000000000006,0.07615773105863909,2.619264724366641e-32,0.5800000000000001,1.987375157064854e-15,20.09975124224178,1.004987562112089,301
0.2,0.003,0.32000000000000006,0.022847319317591725,2.619264724366641e-32,0.5800000000000001,6.222297635133353e-15,66.69665991970247,1.000449898795537,301
0.2,0.001,0.32000000000000006,0.007615773105863908,2.734820521029875e-32,0.5800000000000001,1.4582263486414035e-14,200.00999975001253,1.0000499987500626,301
0.5,0.1,0.125,0.4,4.930380657631324e-32,1.0,6.505807087772697e-16,5.385164807134505,1.077032961426901,301
0.5,0.03,0.125,0.12,4.930380657631324e-32,1.0,1.059291322818189e-15,16.786237749352228,1.0071742649611337,301
0.5,0.01,0.125,0.04,4.3140830754274083e-32,1.0,3.275942106936433e-15,50.039984012787215,1.0007996802557444,301
0.5,0.003,0.125,0.012,4.930380657631324e-32,1.0,1.0179785719819423e-14,166.67866623469774,1.0000719974081864,301
0.5,0.001,0.125,0.004,4.930380657631324e-32,1.0,2.317577901673222e-14,500.0039999840001,1.0000079999680003,301
0.8,0.1,0.01999999999999999,0.3335416016031584,1.232595164407831e-31,1.7800000000000002,5.527813312874423e-16,8.246211251235323,1.0307764064044154,301
0.8,0.03,0.01999999999999999,0.1000624804809475,1.0477058897466563e-31,1.7800000000000002,1.1761539099385007e-15,26.741561493508772,1.0028085560065787,301
0.8,0.01,0.01999999999999999,0.03335416016031584,8.011868568650901e-32,1.7800000000000002,5.316844682724567e-15,80.02499609497022,1.0003124511871277,301
0.8,0.003,0.01999999999999999,0.010006248048094751,8.628166150854817e-32,1.7800000000000002,1.1547644271223088e-14,266.67416656120093,1.0000281246045035,301
0.8,0.001,0.01999999999999999,0.0033354160160315835,1.232595164407831e-31,1.7800000000000002,3.997048048760037e-14,800.0024999960938,1.0000031249951171,301
